Season,Day,Month,Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
Spring,Monday,April,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,12,13,14,10,10,5,5,5,10,5,20,5,5,14,14,5,5,16,16,13.1,13.1,5,5,5,10,12,12,10,12,9,9
Spring,Tuesday,April,13,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,13,13,14,14,18,18,20,20,13.1,13.1,5,5,5,10,5,10,5,20,20,20,13.1,13.1,5,10,10,12,12,12,12,12
Spring,Wednesday,April,14,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,10,12,25,25,13.1,13.1,5,10,5,10,5,10,5,5,13.1,13.1,5,5,5,5,10,12,10,12,5,10
Spring,Thursday,April,15,17,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,10,12,17,17,5,13,19,19,19,19,5,20,5,5,5,5,5,10,13.1,13.1,5,10,14,14,12,12,12,12
Spring,Friday,April,16,5,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,17,17,5,10,5,5,5,20,5,12,5,10,5,5,17,17,5,5,5,10,13.1,13.1,19,19,5,5,1,1
Spring,Saturday,April,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,17,17,13,13,14,14,10,10,5,20,5,12,5,5,5,10,5,10,12,12,22,22,22,22,13,14,10,12,12,12,10,12
Spring,Sunday,April,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,12,13,13,14,14,17,17,5,10,5,5,5,13,5,5,5,10,20,20,12,12,22,22,22,22,22,22,12,12,12,12
Spring,Monday,April,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,10,10,17,17,10,10,5,5,17,17,5,5,5,20,5,10,10,10,17,17,10,12,10,12,12,12
Spring,Tuesday,April,20,12,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,14,14,13,13,17,17,10,10,5,5,5,20,5,5,5,5,5,10,10,10,20,20,14,14,5,10,10,12,12,12,12,12
Spring,Wednesday,April,21,17,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,17,17,5,13,5,5,5,10,5,5,5,10,5,5,13.1,13.1,20,20,18,18,12,12,10,12,12,12
Spring,Thursday,April,22,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,10,10,5,5,5,5,5,10,20,20,12,12,5,5,5,10,13,14,5,10,12,12,10,12,12,12
Spring,Friday,April,23,5,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,17,17,5,10,5,5,20,20,5,10,5,5,13.1,13.1,5,5,5,10,5,20,13,14,12,12,12,12,10,12
Spring,Saturday,April,24,5,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,17,17,5,10,5,5,5,5,13.1,13.1,5,13,5,10,5,5,5,5,13.1,13.1,20,20,12,12,10,12,12,12
Spring,Sunday,April,25,12,12,5,12,1,1,1,1,1,1,1,1,1,1,2,2,10,10,13,14,25,25,25,25,10,12,12,12,10,12,5,13,5,10,17,17,5,5,13.1,13.1,5,12,12,12,9,9,9,9
Spring,Monday,April,26,12,12,1,1,1,1,1,1,1,1,2,2,5,12,10,12,12,12,13,13,17,17,12,12,10,12,17,17,14,14,20,20,13.1,13.1,21,21,10,12,13.1,13.1,13,14,12,12,9,9,12,12
Spring,Tuesday,April,27,12,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,10,12,14,14,14,14,10,12,10,13,18,18,17,17,13.1,13.1,10,10,10,12,12,12,11,11,11,11
Spring,Wednesday,April,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,10,12,10,12,18,18,18,18,19,19,17,17,13.1,13.1,19,19,18,18,13.1,13.1,10,12,9,9,9,9,9,9
Spring,Thursday,April,29,18,18,1,1,1,1,1,1,1,1,1,1,1,1,2,2,17,17,13,13,17,17,10,10,14,14,19,19,14,14,25,25,13.1,13.1,18,18,18,18,13,14,10,12,10,12,13.1,13.1,12,12
Spring,Friday,April,30,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,17,17,7,7,10,10,19,19,13.1,13.1,20,20,22,22,12,12,12,12,21,21,13.1,13.1,10,12,12,12,10,12
Spring,Saturday,May,1,17,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,10,13,13,14,14,18,18,10,12,20,20,13.1,13.1,12,12,22,22,13.1,13.1,21,21,22,22,12,12,10,12,10,10
Spring,Sunday,May,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,17,17,13,14,24,24,10,12,7,7,10,13,18,18,18,18,19,19,19,19,10,12,21,21,22,22,22,22,12,12,12,12
Spring,Monday,May,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,17,17,13,13,14,14,24,24,10,10,10,13,18,18,7,7,10,10,1,1,1,1,1,1,24,24,19,19,12,12,10,10
Spring,Tuesday,May,4,19,19,1,1,1,1,1,1,1,1,1,1,1,1,2,2,24,24,10,10,24,24,17,17,10,12,10,12,18,18,5,5,5,10,24,24,24,24,13.1,13.1,5,10,12,12,5,12,10,12
Spring,Wednesday,May,5,10,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,4,4,4,4,12,12,5,12,12,12,25,25,19,19,10,10,10,12,17,17,13,14,12,12,12,12,12,12,5,10
Spring,Thursday,May,6,1,1,1,1,1,1,1,1,1,1,5,5,5,10,5,5,13,14,5,10,4,4,4,4,13,13,12,12,10,12,12,12,19,19,10,12,19,19,18,18,13.1,13.1,12,12,12,12,11,11
Spring,Friday,May,7,11,11,11,11,1,1,1,1,1,1,1,1,1,1,2,2,1,1,17,17,13,14,19,19,10,13,24,24,10,10,17,17,22,22,12,12,18,18,22,22,13.1,13.1,12,12,10,12,19,19
Spring,Saturday,May,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,19,19,13,14,25,25,19,19,24,24,10,13,10,12,18,18,22,22,17,17,21,21,22,22,12,12,12,12,5,12,11,11
Spring,Sunday,May,9,5,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13.1,13.1,13,13,14,14,10,12,5,10,5,13,10,10,5,10,5,10,5,10,20,20,22,22,22,22,12,12,5,12,10,12
Spring,Monday,May,10,5,12,1,1,1,1,1,1,1,1,1,1,2,2,5,5,5,12,5,12,4,4,17,17,12,12,5,10,5,13,5,10,17,17,19,19,21,21,13.1,13.1,10,12,12,12,5,5,5,10
Spring,Tuesday,May,11,5,5,1,1,1,1,1,1,1,1,1,1,2,2,5,10,5,12,4,4,4,4,13,13,13.1,13.1,19,19,13.1,13.1,20,20,13,13,10,10,21,21,17,17,10,12,10,12,10,12,12,12
Spring,Wednesday,May,12,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,2,2,10,10,13,14,13.1,13.1,7,7,12,12,12,12,19,19,17,17,10,10,10,12,21,21,13,14,12,12,12,12,1,1
Spring,Thursday,May,13,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,13.1,13.1,13,14,18,18,19,19,20,20,10,13,19,19,10,12,25,25,10,12,21,21,20,20,12,12,12,12,10,12
Spring,Friday,May,14,12,12,12,12,1,1,1,1,1,1,1,1,1,1,2,2,10,12,13.1,13.1,13,14,19,19,7,7,10,13,19,19,10,12,10,10,20,20,12,12,20,20,13.1,13.1,12,12,10,10,10,12
Spring,Saturday,May,15,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13.1,13.1,13,14,10,12,19,19,19,19,18,18,10,10,17,17,7,7,15,15,21,21,13,14,10,12,11,11,11,11
Spring,Sunday,May,16,11,11,12,12,10,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,25,25,7,7,20,20,13.1,13.1,10,12,10,10,15,15,20,20,21,21,19,19,10,12,7,7,10,12
Spring,Monday,May,17,15,15,1,1,1,1,1,1,1,1,1,1,1,1,2,2,7,7,13,14,19,19,19,19,10,10,7,7,20,20,15,15,19,19,13.1,13.1,21,21,13.1,13.1,10,12,12,12,11,11,11,11
Spring,Tuesday,May,18,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,17,17,19,19,7,7,10,12,13.1,13.1,15,15,15,15,19,19,21,21,25,25,13,14,12,12,12,12,10,10
Spring,Wednesday,May,19,12,12,10,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,17,17,14,14,7,7,19,19,20,20,15,15,15,15,10,10,21,21,13,14,13.1,13.1,12,12,12,12,12,12
Spring,Thursday,May,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,10,10,13.1,13.1,19,19,20,20,13,14,7,7,22,22,10,12,10,12,22,22,21,21,10,12,11,11,11,11
Spring,Friday,May,21,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,17,17,19,19,20,20,12,12,10,12,10,12,13.1,13.1,13.1,13.1,21,21,13,14,10,12,10,10,10,12
Spring,Saturday,May,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,20,20,14,14,19,19,7,7,20,20,10,12,22,22,10,10,17,17,22,22,21,21,10,13,10,12,13.1,13.1
Spring,Sunday,May,23,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,25,25,25,25,10,12,20,20,15,15,15,15,10,12,20,20,22,22,22,22,12,12,10,12,7,7
Spring,Monday,May,24,19,19,1,1,1,1,1,1,1,1,1,1,13.1,13.1,13.1,13.1,14,14,13,14,10,12,17,17,19,19,19,19,20,20,15,15,15,15,15,15,21,21,20,20,13.1,13.1,10,12,11,11,11,11
Spring,Tuesday,May,25,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,17,17,13,14,15,15,10,10,20,20,13,13,12,12,15,15,18,18,20,20,13.1,13.1,10,12,10,10,11,11,11,11
Spring,Wednesday,May,26,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,17,17,10,12,19,19,13.1,18,18,18,25,25,10,10,17,17,10,12,13.1,13.1,12,9,12,9,12,9,12,9
Spring,Thursday,May,27,12,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,13,13,14,14,13.1,13.1,7,10,12,19,12,19,10,13,17,17,10,12,18,18,13.1,13.1,13,12,12,12,10,12,12,12
Spring,Friday,May,28,10,12,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,13.1,13.1,13,14,7,19,11,19,11,11,11,11,13.1,13.1,13.1,20,10,12,18,18,17,17,13,14,10,12,11,11,11,11
Spring,Saturday,May,29,11,11,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,13,13,14,14,19,19,10,10,13.1,13.1,15,10,18,18,8,8,7,7,21,21,13.1,13.1,10,12,12,12,12,19
Spring,Sunday,May,30,12,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,2,2,13,14,25,25,12,17,17,17,13.1,13.1,10,12,19,19,17,19,18,12,21,21,13.1,13.1,10,12,11,11,10,12
Spring,Monday,May,31,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,10,12,12,23,12,19,12,7,20,20,17,17,10,14,15,19,19,19,21,20,12,13.1,10,12,11,11,11,11
Summer,Tuesday,June,1,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13.1,14,14,19,13.1,19,19,7,10,20,20,13.1,20,23,10,10,19,8,19,8,18,13.1,14,10,10,10,19,10,12
Summer,Wednesday,June,2,17,17,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,13,13,14,14,10,12,25,25,13.1,20,10,13,19,13.1,13.1,17,8,10,8,8,21,20,10,10,10,12,7,10,17,17
Summer,Thursday,June,3,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,17,19,10,12,8,12,13,13.1,8,8,10,10,8,8,7,20,13,13.1,10,12,8,8,10,12,12,12
Summer,Friday,June,4,12,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,10,10,13,13,14,14,17,17,25,25,18,12,22,22,13.1,13.1,10,12,12,22,22,13.1,21,10,10,12,10,12,13.1,10,12,12
Summer,Saturday,June,5,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,10,12,7,10,17,18,22,22,7,7,20,22,22,22,11,11,22,19,10,12,12,9,12,9
Summer,Sunday,June,6,9,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,25,25,17,17,7,23,19,23,7,23,18,18,20,20,22,22,22,22,11,11,10,12,10,10,10,12
Summer,Monday,June,7,12,12,10,12,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,13,14,13.1,13.1,10,17,19,19,13,19,10,19,7,19,7,19,21,21,13.1,13.1,20,14,10,12,10,10,8,8
Summer,Tuesday,June,8,8,12,11,11,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,10,13,14,10,12,10,17,10,13.1,14,14,13.1,13.1,10,19,7,19,11,19,21,13.1,20,14,10,12,12,19,12,8
Summer,Wednesday,June,9,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,14,14,13,13,10,10,19,19,19,19,13.1,19,8,10,8,8,8,18,21,13.1,20,13,14,10,10,12,12,19,19,19
Summer,Thursday,June,10,10,12,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,14,14,13,13,17,17,19,19,19,19,13.1,19,19,19,8,8,8,8,8,8,10,12,8,20,7,13,12,12,10,12
Summer,Friday,June,11,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,17,17,13,13,14,14,18,18,12,17,25,25,13,13.1,8,8,8,8,8,8,20,12,20,20,13,13.1,10,12,12,12
Summer,Saturday,June,12,12,12,12,22,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,12,13,14,12,17,10,10,18,18,10,12,10,10,19,17,18,18,10,12,20,20,13.1,13.1,12,19,10,10,10,12
Summer,Sunday,June,13,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,13.1,20,20,13,13,13.1,13.1,13.1,13.1,10,19,13.1,13,18,18,17,17,19,19,20,20,13,13.1,18,13.1,12,19,12,13.1,12,13.1
Summer,Monday,June,14,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,25,25,12,13,19,19,13.1,18,19,19,9,19,23,19,20,19,13,13.1,12,7,11,11,11,11,12,11
Summer,Tuesday,June,15,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,10,13,14,13.1,13.1,7,10,19,19,13.1,13,18,18,10,10,10,12,19,20,20,20,13,14,22,13.1,12,22,10,12
Summer,Wednesday,June,16,12,22,12,22,22,22,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,10,13.1,19,10,17,17,19,13.1,10,13,13.1,13.1,18,18,20,20,13,14,10,10,18,18,24,24,10,12
Summer,Thursday,June,17,24,24,1,1,1,1,1,1,1,1,1,1,1,1,2,2,24,24,10,17,13,16,11,11,16,16,25,25,19,13.1,19,18,10,12,18,18,13.1,13.1,20,20,13,14,13.1,19,12,19,11,11
Summer,Friday,June,18,11,11,1,1,1,1,1,1,1,1,21,2,10,1,1,1,1,1,13,13.1,19,13.1,12,19,25,25,25,25,10,17,22,22,13.1,13.1,12,12,18,22,12,22,13,14,13.1,7,12,9,12,9
Summer,Saturday,June,19,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,13,13.1,14,19,19,13.1,13.1,13.1,10,7,19,17,19,22,20,13.1,18,13.1,18,22,22,13,14,12,12,22,13.1,12,22
Summer,Sunday,June,20,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,13.1,13.1,16,13.1,13.1,13.1,13.1,16,20,25,10,12,18,18,10,13.1,20,22,22,22,22,22,12,13.1,11,11,11,11
Summer,Monday,June,21,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,23,23,23,10,19,17,17,10,19,13.1,13,19,19,10,19,20,13,18,18,13.1,13,12,19,7,7,10,12,18,18
Summer,Tuesday,June,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,25,25,25,25,12,19,13.1,13.1,12,18,13.1,13.1,13.1,13.1,7,18,10,17,13,14,12,19,13.1,19,12,12
Summer,Wednesday,June,23,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,16,13.1,13.1,13.1,19,19,10,19,13,13.1,10,19,18,18,16,25,12,19,13.1,17,13,14,7,13.1,13.1,18,10,12
Summer,Thursday,June,24,10,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,13.1,2,13,13,7,14,10,19,19,19,10,19,13,13.1,17,17,13.1,13.1,19,19,16,13.1,13,13,10,14,10,12,10,12,18,18
Summer,Friday,June,25,7,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,10,13,13,14,14,7,7,10,19,20,20,13,25,22,22,13.1,13.1,19,19,13.1,19,12,22,10,13,19,19,6,6,6,12
Summer,Saturday,June,26,12,12,10,12,1,1,1,1,1,1,1,1,1,1,1,1,2,10,14,14,13,14,13.1,13.1,11,11,7,19,13,13.1,10,19,22,22,13.1,19,20,20,12,22,20,12,10,12,13.1,13.1,18,19
Summer,Sunday,June,27,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,10,13,13,14,19,10,19,19,19,7,7,13,20,20,19,19,19,13.1,20,20,22,22,11,22,22,11,11,12,22,12,22
Summer,Monday,June,28,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,2,2,13,13,14,14,10,19,10,10,7,17,13,13.1,7,13.1,19,19,10,19,12,16,21,13.1,13,14,12,22,12,22,22,22
Summer,Tuesday,June,29,22,22,22,22,1,1,1,1,1,1,1,1,1,1,1,1,2,12,13,14,14,14,25,25,10,19,5,5,3,3,20,20,10,17,12,13.1,13.1,19,19,19,13,14,12,22,22,22,22,22
Summer,Wednesday,June,30,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,7,17,19,19,10,10,13.1,13,10,18,10,19,12,19,13.1,13.1,20,20,20,13.1,10,12,10,12,18,18
Summer,Thursday,July,1,18,19,18,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,13,12,14,10,18,19,13.1,13.1,19,3,3,12,20,10,17,13.1,13.1,19,19,20,20,12,13.1,13.1,18,13.1,13.1,12,12
Summer,Friday,July,2,12,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,13.1,16,18,18,18,18,25,25,13,13.1,22,11,11,13.1,13.1,13.1,19,19,22,13,10,14,13.1,22,22,22,12,22
Summer,Saturday,July,3,12,22,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,13.1,19,19,19,10,10,12,22,22,22,20,20,12,22,12,22,12,13.1,19,13.1,22,19,12,22
Summer,Sunday,July,4,22,19,19,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,25,25,19,19,3,3,14,14,13.1,13.1,19,19,13.1,20,12,22,12,22,12,22,10,12,12,19
Summer,Monday,July,5,7,7,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,10,10,13,14,24,18,13.1,17,10,19,20,20,15,15,10,18,22,24,21,21,13.1,13.1,13,13,24,24,12,12,10,12
Summer,Tuesday,July,6,10,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13.1,13.1,12,13,19,13.1,17,17,10,12,20,24,10,10,13.1,13.1,24,24,7,7,19,19,13,13,24,24,12,13.1,12,12
Summer,Wednesday,July,7,22,12,10,10,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,10,14,19,13.1,17,17,10,20,24,24,10,12,17,17,5,5,15,15,13.1,13.1,13,13,7,7,12,13.1,12,12
Summer,Thursday,July,8,22,22,22,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,10,19,3,7,13,17,3,3,7,7,10,13,19,19,17,17,20,13.1,13,14,7,7,12,13.1,12,12
Summer,Friday,July,9,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,13.1,19,25,25,7,7,13,13.1,10,19,5,5,15,15,12,15,20,20,13,13.1,12,14,11,11,11,11
Summer,Saturday,July,10,11,11,10,13,1,1,1,1,1,1,1,1,1,1,1,1,2,2,7,13.1,13,14,10,12,13.1,19,10,13.1,5,5,5,5,7,7,15,13.1,12,15,20,20,13,13.1,7,7,10,12,11,11
Summer,Sunday,July,11,11,11,18,18,1,1,1,1,1,1,1,1,2,22,22,13.1,1,1,2,13,14,14,17,17,13,18,3,19,3,3,13.1,13.1,10,18,7,15,10,19,20,20,13,13,14,19,12,12,12,12
Summer,Monday,July,12,22,12,22,22,1,1,1,1,1,1,1,1,10,22,1,1,2,2,1,1,13,13,14,14,19,19,17,17,13,13,10,18,15,5,5,5,13.1,13.1,20,20,13,14,11,11,11,11,11,11
Summer,Tuesday,July,13,10,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,13.1,13.1,25,25,25,3,3,3,7,7,10,10,5,5,5,5,20,20,13,14,10,24,13.1,19,5,5
Summer,Wednesday,July,14,18,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,10,15,15,15,15,20,15,18,10,13.1,5,5,15,13.1,12,13.1,21,21,12,12,12,13.1,12,13,5,5
Summer,Thursday,July,15,7,10,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,16,16,5,16,15,16,3,25,3,13.1,15,15,10,12,17,17,11,20,11,14,10,12,10,12,18,18
Summer,Friday,July,16,7,12,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,13,14,17,10,12,7,12,20,3,3,13,15,10,13.1,13.1,17,17,12,22,22,22,19,19,12,22,22,22
Summer,Saturday,July,17,7,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,13.1,13.1,25,25,25,25,13,13.1,5,14,13.1,22,22,22,24,24,21,21,13,14,22,22,7,10,10,12
Summer,Sunday,July,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,10,14,18,13.1,19,19,10,19,13,13.1,5,7,5,5,5,15,21,21,20,22,22,22,22,11,11,10,13.1,13.1
Summer,Monday,July,19,13.1,13.1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,12,13,13,14,14,10,14,17,17,18,18,7,7,5,5,5,5,5,12,20,20,13,14,13.1,13.1,10,12,18,18
Summer,Tuesday,July,20,10,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,17,17,10,14,10,12,13,13.1,18,18,13.1,13.1,19,19,5,12,10,14,13,14,13.1,13.1,19,19,13,19
Summer,Wednesday,July,21,7,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,12,12,13,14,17,17,13.1,25,25,25,10,19,12,19,7,7,5,5,5,5,13.1,18,13,14,18,19,12,13.1,7,7
Summer,Thursday,July,22,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13.1,13.1,13,14,11,19,11,11,11,19,3,11,3,13.1,13.1,17,5,5,5,13.1,13,13,13,14,13.1,19,19,19,10,12
Summer,Friday,July,23,12,15,18,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,25,25,13,14,7,17,5,18,10,10,13,14,5,15,5,5,12,12,13.1,13.1,13.1,18,13,14,12,12,12,12,12,9
Summer,Saturday,July,24,12,12,12,12,5,5,1,1,1,1,1,1,1,1,1,1,2,2,10,17,13,14,13.1,13.1,7,7,12,12,10,18,5,7,5,5,15,15,13.1,13.1,13,13,18,18,12,13.1,13.1,18,13.1,18
Summer,Sunday,July,25,25,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,13.1,13.1,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,13.1,13.1,11,13.1,13.1,13.1,11,11
Summer,Monday,July,26,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,17,17,12,19,10,17,20,10,5,18,7,7,12,15,15,15,15,13.1,20,20,13.1,13.1,12,19,19,19,19,19
Summer,Tuesday,July,27,10,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13.1,13.1,13,14,10,10,19,18,5,5,11,12,11,19,10,19,20,20,5,12,5,10,7,7,12,12,12,18,17,17
Summer,Wednesday,July,28,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,7,10,13,14,10,19,12,17,5,15,15,13,15,13.1,5,17,5,15,20,13.1,13,14,23,23,11,11,11,11,10,19
Summer,Thursday,July,29,18,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,10,13.1,13,13,14,17,10,19,3,13,25,25,5,3,3,7,7,17,5,10,20,20,5,13.1,22,22,7,7,5,10,5,5
Summer,Friday,July,30,13,18,1,1,1,1,1,1,1,1,2,2,19,19,1,1,1,1,13,13,14,14,24,24,10,19,3,7,3,5,3,22,22,20,5,12,13.1,13.1,24,24,24,24,7,7,24,24,24,24
Summer,Saturday,July,31,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,14,14,13,13,14,14,14,14,13,13.1,25,25,7,22,22,22,5,5,10,19,17,17,13,14,5,12,11,11,11,11
Summer,Sunday,August,1,5,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,13.1,13.1,12,19,12,19,10,17,5,5,11,12,11,11,5,10,20,22,22,22,22,22,22,22,12,12,13.1,12
Summer,Monday,August,2,18,18,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,13,13,14,14,17,17,25,25,25,25,18,18,10,13.1,7,5,21,13.1,20,20,13,13.1,10,14,7,19,12,12,12,12
Summer,Tuesday,August,3,12,12,5,12,1,1,1,1,1,1,1,1,1,1,2,2,5,13.1,13,13,14,14,5,10,7,7,8,8,13,13.1,12,19,5,5,5,18,20,20,13,13.1,10,14,18,18,18,18,12,19
Summer,Wednesday,August,4,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,12,12,12,13,14,14,10,17,18,18,13,13.1,13.1,19,6,12,6,12,13.1,13.1,20,13,23,23,12,12,10,18,17,17
Summer,Thursday,August,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,13.1,17,12,19,13,20,3,18,3,12,7,12,5,12,23,23,20,20,13,14,10,19,12,12,12,12
Summer,Friday,August,6,5,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,14,11,11,25,25,13.1,13.1,16,16,11,11,11,11,11,11,11,11,13.1,13.1,12,12,13,13.1,7,10,10,18,12,19
Summer,Saturday,August,7,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,13.1,13.1,17,17,10,19,13.1,13,5,5,5,13.1,7,13.1,16,16,13,13,13.1,13.1,13.1,13.1,12,19,11,11
Summer,Sunday,August,8,12,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,13,13,14,14,13.1,13.1,5,5,16,16,11,11,11,11,11,11,11,16,12,12,5,5,13,14,5,12,10,13.1,18,18
